"movieId","n","title","genres"
296,67310,"Pulp Fiction (1994)","Comedy|Crime|Drama|Thriller"
356,66172,"Forrest Gump (1994)","Comedy|Drama|Romance|War"
318,63366,"Shawshank Redemption, The (1994)","Crime|Drama"
593,63299,"Silence of the Lambs, The (1991)","Crime|Horror|Thriller"
480,59715,"Jurassic Park (1993)","Action|Adventure|Sci-Fi|Thriller"
260,54502,"Star Wars: Episode IV - A New Hope (1977)","Action|Adventure|Sci-Fi"
110,53769,"Braveheart (1995)","Action|Drama|War"
589,52244,"Terminator 2: Judgment Day (1991)","Action|Sci-Fi"
2571,51334,"Matrix, The (1999)","Action|Sci-Fi|Thriller"
527,50054,"Schindler's List (1993)","Drama|War"
